name,visitors,pageviews,bounce_rate,time_on_page
/impressum,2,2,,82.0
/posts/wichtige-information-neue-rate-limits-für-den-grünstromindex,2,2,100,
/training,2,3,,10.0
/whitepaper,2,5,0,21.0
/wissen/angenommen-ein-kunde-hat-fragen-zu-einer-ungewoehnlich-hohen-energierechnung-welche-schritte-wuerden-sie-unternehmen-um-die-ursache-zu-ermitteln-und-dem-kunden-zu-helfen-erwaehnen-sie-auch-moegliche-ursachen-die-ausserhalb-der-marktkommunikation-liegen,2,2,,14.0
/wissen/gpke-fristen-im-lieferantenwechsel,2,3,0,10.0
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,2,2,100,8.0
/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,2,2,,68.0
/wissen/pricat-nachrichten-als-antwort-auf-g-0031-und-g-0032-anfragen,2,2,,66.0
/wissen/rueckwirkende-vertragsaufloesung-in-der-grundversorgung-prozesse-fristen-und-ausnahmen,2,2,100,8.0
/wissen/sperrung-entsperrung-von-netzanschluessen-die-rolle-des-messstellenbetreibers-msb,2,2,,763.0
/wissen/utilmd-bgm-z-codes-geschaeftsprozesse-im-detail,2,2,100,7.0
/app/bilateral-clarifications,1,1,,
/app/chat/03bf23a8-debf-4a2b-8356-7b92036653a2,1,2,0,48.0
/app/forgot-password,1,1,,0.0
/app/teams,1,1,,6.0
/chat/1f3f076b-1fd8-41b2-b56c-38498c76fba8,1,1,,7.0
/chat/28c305b1-ac5a-4e0b-9d9c-66e73400621d,1,2,,1131.0
/chat/4bcd496c-a9ea-49aa-8a59-36d3f6a2d149,1,1,,49.0
/chat/5b6bf905-a4c2-4cf7-aa04-767b2046d234,1,1,,
/chat/66e79861-5b5d-442a-8081-1f529a049579,1,1,,9.0
/chat/682ce3f6-517a-4b91-b068-525af6d1d692,1,1,,
/chat/6b1518d7-ec0d-4264-ac35-0cb9e79a293f,1,1,,
/chat/6c73b1ed-c5c2-4fac-a61d-faf20aa8dd32,1,1,,43.0
/chat/7c3594f4-0108-43ec-b9eb-f68a83dcb9ff,1,1,,11.0
/chat/a28e31f0-dcbe-4d23-85f1-a628c6a43086,1,1,,23.0
/chat/a76ddd4b-3651-4b19-a024-b458ffe00e48,1,1,0,3.0
/chat/b682c41a-b380-47a0-87f4-c2aa06bd47ec,1,1,,418.0
/chat/cf56dfb1-1f93-4bbc-9be5-371dd64b5e16,1,1,,37.0
/chat/ebeb791f-2050-41d3-911a-d33bfea5aa25,1,1,,
/chat/fbfa3c1d-5bc5-43c1-adbf-529a9ca298d3,1,1,100,
/daten-atlas,1,1,,8.0
/daten-atlas/datenelemente/comdis-nr-bez,1,1,0,93.0
/daten-atlas/datenelemente/cta-0150-ansprechpartner-einspeiseprozesse,1,1,100,
/daten-atlas/datenelemente/dtm-00-formatkennzeichen-fur-datum-uhrzeit,1,1,100,
/daten-atlas/datenelemente/dtm-00039-posi-onsbezogener-abrechnungszeitraum-ende,1,1,,46.0
/daten-atlas/datenelemente/ebd-e-0264-ebd-nr-e-0264-zur-prufung-der-abrechnung-einer-fur-den-esa-erbrachten-leistung,1,1,,25.0
/daten-atlas/datenelemente/s002-0007-teilnehmerbezeichnung-qualifier,1,1,100,
/daten-atlas/prozesse/netznutzungsabrechnung,1,1,,
/daten-atlas/visualisierungen/comdis-nr,1,1,,11.0
/daten-atlas/visualisierungen/ebd-e-0264,1,1,,346.0
/daten-atlas/visualisierungen/ebd-g-0085,1,1,100,
/egefragt/mpes,1,1,100,
/egefragt/verbrauchseinrichtungen,1,1,100,
/glossary/arbeitspreis,1,1,100,
/glossary/ortsnetzstation,1,1,100,
/konsultation/mitteilung-53,1,3,,15.0
/podcast.tss,1,2,,250.0
/posts/lobby_openems_association,1,1,100,
